ordinal,n,d,status,lower_outward,upper_outward,width_upper_outward,dual_from,verdict
0,13,1/2,CERTIFIED,0.39713666568100003,0.397161636764393,2.4971083392840876e-05,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
1,13,1/5,CERTIFIED,0.8966732662961678,0.8967669676702715,9.370137410351712e-05,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,13,1/10,CERTIFIED,1.1898717660767768,1.1898901620041096,1.8395927332359186e-05,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,13,1/20,CERTIFIED,1.3725688358567392,1.3725840117520043,1.5175895264739525e-05,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
