L,M,N,p,shots,n_logical,wer,n_fail_x,n_fail_z,wall_s,per_shot_ms,seed
12,6,144,0.34,200000,6096,0.03048,3468,3407,35.25744462496368,0.17628722312481843,5996101872527393438
12,6,144,0.38,200000,27880,0.1394,17824,17683,66.15109425003175,0.33075547125015875,13238239581497592174
12,6,144,0.36553066470804263,200000,16766,0.08383,10228,10114,52.70729395898525,0.26353646979492623,8460463867299856234
12,6,144,0.3697410147471096,200000,19697,0.098485,12034,12219,56.33381591603393,0.2816690795801696,11860279138001133684
12,6,144,0.37012088429759543,200000,19838,0.09919,12226,12183,56.735453000001144,0.2836772650000057,12243567644037191978
12,6,144,0.37031989160221984,200000,20047,0.100235,12345,12382,56.8559580000001,0.2842797900000005,17872834531834411752
