d,h_idx,k_idx,n_solutions
9,79,46,16
9,136,57,2
9,227,63,12
10,69,0,240
10,69,14,240
10,114,0,204
10,114,11,2
10,114,14,264
10,231,0,168
10,231,14,204
10,312,0,9840
10,312,1,80
10,312,3,620
10,312,5,3050
10,312,6,80
10,312,7,50
10,312,14,5180
11,104,0,968
11,104,1,11
11,104,2,11
12,0,0,1
12,1,0,1
12,10,0,36
12,11,0,36
