L,M,N,p,shots,n_logical,wer,n_fail_x,n_fail_z,wall_s,per_shot_ms,seed
12,6,144,0.34,2000,61,0.0305,34,30,0.3556584999896586,0.1778292499948293,13850353144011719592
12,6,144,0.38,2000,257,0.1285,157,167,0.6710094590089284,0.3355047295044642,18005511581100192385
12,6,144,0.36836734693877554,2000,177,0.0885,121,105,0.5470574999926612,0.2735287499963306,16022946504047365257
12,6,144,0.3717117346938776,2000,191,0.0955,108,123,0.5778910419903696,0.2889455209951848,12031843448572518557
12,6,144,0.372841952690167,2000,228,0.114,137,152,0.5889874170534313,0.29449370852671564,17404514792091470349
12,6,144,0.3719866525848669,2000,240,0.12,149,153,0.5926752920495346,0.2963376460247673,8443129966987138983
