ordinal,n,d,status,lower_outward,upper_outward,width_upper_outward,dual_from,verdict
0,12,1/10,CERTIFIED,1.1968923784214915,1.1968988416160002,6.4631945083381036e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
1,12,1/20,CERTIFIED,1.376928469567818,1.3769335302038865,5.060636068201896e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
