shot,true_obs,ml_class,beam8_pred,bp30+osd_pred,nms-ens24_pred,beam8_regret,bp30+osd_regret,nms-ens24_regret
116,8,8,8,8,8,0.000000,0.000000,0.000000
117,8,8,8,8,8,0.000000,0.000000,0.000000
118,0,0,0,0,0,0.000000,0.000000,0.000000
119,0,0,0,0,0,0.000000,0.000000,0.000000
120,6,6,6,6,6,0.000000,0.000000,0.000000
121,0,0,0,0,0,0.000000,0.000000,0.000000
122,2,2,2,2,2,0.000000,0.000000,0.000000
123,0,0,0,0,0,0.000000,0.000000,0.000000
124,0,0,0,0,0,0.000000,0.000000,0.000000
125,9,9,9,9,9,0.000000,0.000000,0.000000
126,0,0,0,0,0,0.000000,0.000000,0.000000
127,0,0,0,0,0,0.000000,0.000000,0.000000
128,1,1,1,1,1,0.000000,0.000000,0.000000
129,0,0,0,0,0,0.000000,0.000000,0.000000
130,6,6,6,6,6,0.000000,0.000000,0.000000
131,0,0,0,0,0,0.000000,0.000000,0.000000
132,0,0,0,0,0,0.000000,0.000000,0.000000
133,2,2,2,2,2,0.000000,0.000000,0.000000
134,0,0,0,0,0,0.000000,0.000000,0.000000
135,0,0,0,0,0,0.000000,0.000000,0.000000
136,12,12,12,12,12,0.000000,0.000000,0.000000
137,0,0,0,0,0,0.000000,0.000000,0.000000
138,0,0,0,0,0,0.000000,0.000000,0.000000
139,0,0,0,0,0,0.000000,0.000000,0.000000
140,0,0,0,0,0,0.000000,0.000000,0.000000
141,4,4,4,4,4,0.000000,0.000000,0.000000
142,5,5,5,5,5,0.000000,0.000000,0.000000
143,0,0,0,0,0,0.000000,0.000000,0.000000
144,0,0,0,0,0,0.000000,0.000000,0.000000
145,0,0,0,0,0,0.000000,0.000000,0.000000
146,0,0,0,0,0,0.000000,0.000000,0.000000
147,0,0,0,0,0,0.000000,0.000000,0.000000
148,0,0,0,0,0,0.000000,0.000000,0.000000
149,0,0,0,0,0,0.000000,0.000000,0.000000
150,0,0,0,0,0,0.000000,0.000000,0.000000
151,15,15,15,15,15,0.000000,0.000000,0.000000
152,0,0,0,0,0,0.000000,0.000000,0.000000
153,0,0,0,0,0,0.000000,0.000000,0.000000
154,0,0,0,0,0,0.000000,0.000000,0.000000
155,0,0,0,0,0,0.000000,0.000000,0.000000
156,0,0,0,0,0,0.000000,0.000000,0.000000
157,0,0,0,0,0,0.000000,0.000000,0.000000
158,0,0,0,0,0,0.000000,0.000000,0.000000
