ordinal,n,d,status,lower_outward,upper_outward,width_upper_outward,dual_from,verdict
0,11,1/2,CERTIFIED,0.4136415126778377,0.4136475665528263,6.053874988461827e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
1,11,1/5,CERTIFIED,0.9165946848818924,0.9166017532024916,7.068320598920295e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
2,11,1/10,CERTIFIED,1.2046904010391062,1.2046925848595933,2.1838204867062363e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
3,11,1/20,CERTIFIED,1.3817159992481873,1.3817177042129642,1.7049647766059455e-06,ba_total_orbit_mass,CERT_LOWER_BEATS_LBplus+CERT_UPPER_BEATS_UB
